Symbol,Date,High,Low,Open,Close,Volume
BTC,2018-01-01 23:59:59,14112.2001953125,13154.7001953125,14112.2001953125,13657.2001953125,10291200000.0
BTC,2018-01-02 23:59:59,15444.599609375,13163.599609375,13625.0,14982.099609375,16846600192.0
BTC,2018-01-03 23:59:59,15572.7998046875,14844.5,14978.2001953125,15201.0,16871900160.0
BTC,2018-01-04 23:59:59,15739.7001953125,14522.2001953125,15270.7001953125,15599.2001953125,21783199744.0
BTC,2018-01-05 23:59:59,17705.19921875,15202.7998046875,15477.2001953125,17429.5,23840899072.0
BTC,2018-01-06 23:59:59,17712.400390625,16764.599609375,17462.099609375,17527.0,18314600448.0
BTC,2018-01-07 23:59:59,17579.599609375,16087.7001953125,17527.30078125,16477.599609375,15866000384.0
BTC,2018-01-08 23:59:59,16537.900390625,14208.2001953125,16476.19921875,15170.099609375,18413899776.0
BTC,2018-01-09 23:59:59,15497.5,14424.0,15123.7001953125,14595.400390625,16659999744.0
BTC,2018-01-10 23:59:59,14973.2998046875,13691.2001953125,14588.5,14973.2998046875,18500800512.0
BTC,2018-01-11 23:59:59,15018.7998046875,13105.900390625,14968.2001953125,13405.7998046875,16534099968.0
BTC,2018-01-12 23:59:59,14229.900390625,13158.099609375,13453.900390625,13980.599609375,12065699840.0
BTC,2018-01-13 23:59:59,14659.5,13952.400390625,13952.400390625,14360.2001953125,12763599872.0
BTC,2018-01-14 23:59:59,14511.7998046875,13268.0,14370.7998046875,13772.0,11084099584.0
BTC,2018-01-15 23:59:59,14445.5,13641.7001953125,13767.2998046875,13819.7998046875,12750799872.0
BTC,2018-01-16 23:59:59,13843.099609375,10194.900390625,13836.099609375,11490.5,18853799936.0
BTC,2018-01-17 23:59:59,11678.0,9402.2900390625,11431.099609375,11188.599609375,18830600192.0
BTC,2018-01-18 23:59:59,12107.2998046875,10942.5,11198.7998046875,11474.900390625,15020399616.0
BTC,2018-01-19 23:59:59,11992.7998046875,11172.099609375,11429.7998046875,11607.400390625,10740400128.0
BTC,2018-01-20 23:59:59,13103.0,11656.2001953125,11656.2001953125,12899.2001953125,11801700352.0
BTC,2018-01-21 23:59:59,12895.900390625,11288.2001953125,12889.2001953125,11600.099609375,9935179776.0
BTC,2018-01-22 23:59:59,11966.400390625,10240.2001953125,11633.099609375,10931.400390625,10537400320.0
BTC,2018-01-23 23:59:59,11377.599609375,10129.7001953125,10944.5,10868.400390625,9660609536.0
BTC,2018-01-24 23:59:59,11501.400390625,10639.7998046875,10903.400390625,11359.400390625,9940989952.0
BTC,2018-01-25 23:59:59,11785.7001953125,11057.400390625,11421.7001953125,11259.400390625,8873169920.0
BTC,2018-01-26 23:59:59,11656.7001953125,10470.2998046875,11256.0,11171.400390625,9746199552.0
BTC,2018-01-27 23:59:59,11614.900390625,10989.2001953125,11174.900390625,11440.7001953125,7583269888.0
BTC,2018-01-28 23:59:59,12040.2998046875,11475.2998046875,11475.2998046875,11786.2998046875,8350360064.0
BTC,2018-01-29 23:59:59,11875.599609375,11179.2001953125,11755.5,11296.400390625,7107359744.0
BTC,2018-01-30 23:59:59,11307.2001953125,10036.2001953125,11306.7998046875,10106.2998046875,8637859840.0
BTC,2018-01-31 23:59:59,10381.599609375,9777.419921875,10108.2001953125,10221.099609375,8041160192.0
BTC,2018-02-01 23:59:59,10288.7998046875,8812.2802734375,10237.2998046875,9170.5400390625,9959400448.0
